metric_name,segment,metric_value,date
Pipeline Coverage,All,4.18,2026-05-14
Win Rate,All,0.2273,2026-05-14
Win Rate,APAC,0.1818,2026-05-14
Win Rate,EMEA,0.2326,2026-05-14
Win Rate,LATAM,0.3333,2026-05-14
Win Rate,North America,0.2255,2026-05-14
Average Deal Size,All,45369.25,2026-05-14
Sales Cycle Length (days),All,81.9,2026-05-14
Net Revenue Retention,All,1.1338,2026-05-14
Product Attach Rate,All,0.4033,2026-05-14
Seat Expansion Rate,All,0.29,2026-05-14
Lead Conversion Rate,All,0.1855,2026-05-14
Lead Conversion Rate,Cold Outreach,0.0792,2026-05-14
Lead Conversion Rate,Event,0.2375,2026-05-14
Lead Conversion Rate,LinkedIn,0.1226,2026-05-14
Lead Conversion Rate,Organic Search,0.1983,2026-05-14
Lead Conversion Rate,Paid Search,0.1315,2026-05-14
Lead Conversion Rate,Referral,0.3352,2026-05-14
Usage At-Risk Rate,All,0.17,2026-05-14
