lead_id,source,campaign,created_date,converted_flag
LEAD00001,LinkedIn,Q1 Spring Push,2025-09-19,0
LEAD00002,Cold Outreach,Retention Drive,2025-12-17,0
LEAD00003,Referral,Product Launch,2025-05-11,0
LEAD00004,LinkedIn,Brand Awareness,2025-03-13,1
LEAD00005,Referral,Q1 Spring Push,2025-06-30,1
LEAD00006,LinkedIn,Competitor Conquest,2025-10-08,0
LEAD00007,LinkedIn,Product Launch,2026-01-13,0
LEAD00008,Organic Search,Product Launch,2026-01-23,0
LEAD00009,Organic Search,Competitor Conquest,2025-06-28,0
LEAD00010,LinkedIn,Competitor Conquest,2025-06-16,1
LEAD00011,LinkedIn,Product Launch,2026-01-20,0
LEAD00012,Event,Product Launch,2025-11-26,0
LEAD00013,Referral,Competitor Conquest,2025-03-11,0
LEAD00014,Organic Search,Q1 Spring Push,2025-10-03,0
LEAD00015,Cold Outreach,Retention Drive,2026-01-26,0
LEAD00016,Organic Search,Q1 Spring Push,2025-06-18,0
LEAD00017,Cold Outreach,Brand Awareness,2026-02-28,0
LEAD00018,LinkedIn,Product Launch,2025-09-28,0
LEAD00019,LinkedIn,Brand Awareness,2025-06-12,0
LEAD00020,Referral,Q1 Spring Push,2025-10-23,0
LEAD00021,LinkedIn,Q1 Spring Push,2026-03-04,1
LEAD00022,Event,Retention Drive,2026-01-18,0
LEAD00023,LinkedIn,Retention Drive,2025-09-29,0
LEAD00024,Cold Outreach,Brand Awareness,2025-05-22,0
LEAD00025,Organic Search,Brand Awareness,2025-05-02,0
LEAD00026,Event,Competitor Conquest,2026-02-14,0
LEAD00027,Referral,Q1 Spring Push,2026-01-16,1
LEAD00028,Organic Search,Competitor Conquest,2025-08-23,0
LEAD00029,Event,Retention Drive,2025-04-23,1
LEAD00030,Cold Outreach,Competitor Conquest,2025-04-30,0
LEAD00031,LinkedIn,Product Launch,2025-03-11,0
LEAD00032,Event,Q1 Spring Push,2025-07-16,0
LEAD00033,Organic Search,Competitor Conquest,2026-01-21,0
LEAD00034,Cold Outreach,Competitor Conquest,2025-07-14,0
LEAD00035,Paid Search,Product Launch,2025-04-30,0
LEAD00036,LinkedIn,Competitor Conquest,2025-12-08,0
LEAD00037,Cold Outreach,Brand Awareness,2025-09-26,0
LEAD00038,Organic Search,Q1 Spring Push,2025-07-11,0
LEAD00039,Referral,Competitor Conquest,2025-12-14,1
LEAD00040,LinkedIn,Retention Drive,2025-05-21,0
LEAD00041,Organic Search,Competitor Conquest,2025-03-11,1
LEAD00042,LinkedIn,Retention Drive,2025-04-13,0
LEAD00043,LinkedIn,Retention Drive,2025-07-18,1
LEAD00044,Referral,Product Launch,2025-04-28,0
LEAD00045,Paid Search,Competitor Conquest,2025-08-27,0
LEAD00046,Paid Search,Retention Drive,2025-08-03,1
LEAD00047,Referral,Retention Drive,2025-09-17,0
LEAD00048,Paid Search,Product Launch,2025-04-06,0
LEAD00049,Cold Outreach,Retention Drive,2025-07-05,0
LEAD00050,Event,Competitor Conquest,2025-09-26,1
LEAD00051,Referral,Product Launch,2025-10-05,0
LEAD00052,Organic Search,Retention Drive,2026-01-15,0
LEAD00053,Event,Competitor Conquest,2025-09-25,0
LEAD00054,Cold Outreach,Q1 Spring Push,2026-01-24,0
LEAD00055,Paid Search,Retention Drive,2025-04-20,0
LEAD00056,Paid Search,Product Launch,2025-07-23,0
LEAD00057,Referral,Retention Drive,2025-05-20,0
LEAD00058,Paid Search,Brand Awareness,2025-10-09,0
LEAD00059,Cold Outreach,Brand Awareness,2025-08-01,0
LEAD00060,LinkedIn,Q1 Spring Push,2025-05-17,0
LEAD00061,Event,Competitor Conquest,2026-01-05,1
LEAD00062,Organic Search,Brand Awareness,2025-06-03,0
LEAD00063,Organic Search,Retention Drive,2025-09-09,0
LEAD00064,LinkedIn,Q1 Spring Push,2025-11-11,1
LEAD00065,Event,Competitor Conquest,2025-04-25,0
LEAD00066,Referral,Competitor Conquest,2025-08-28,0
LEAD00067,Paid Search,Product Launch,2025-07-11,0
LEAD00068,Event,Competitor Conquest,2025-09-08,1
LEAD00069,Paid Search,Brand Awareness,2025-04-02,0
LEAD00070,Organic Search,Q1 Spring Push,2025-04-14,1
LEAD00071,Cold Outreach,Competitor Conquest,2025-04-09,1
LEAD00072,Paid Search,Q1 Spring Push,2025-12-31,0
LEAD00073,Referral,Competitor Conquest,2025-03-20,0
LEAD00074,Referral,Retention Drive,2025-12-09,0
LEAD00075,Referral,Retention Drive,2025-07-24,0
LEAD00076,Paid Search,Product Launch,2025-08-06,0
LEAD00077,Event,Competitor Conquest,2025-11-10,0
LEAD00078,LinkedIn,Competitor Conquest,2025-06-05,0
LEAD00079,Organic Search,Q1 Spring Push,2025-05-25,0
LEAD00080,LinkedIn,Q1 Spring Push,2025-05-18,0
LEAD00081,Cold Outreach,Q1 Spring Push,2025-12-29,0
LEAD00082,Event,Brand Awareness,2025-07-16,0
LEAD00083,Event,Retention Drive,2026-01-25,0
LEAD00084,Cold Outreach,Q1 Spring Push,2025-03-26,0
LEAD00085,Event,Brand Awareness,2025-05-02,0
LEAD00086,LinkedIn,Retention Drive,2026-03-06,1
LEAD00087,Event,Competitor Conquest,2025-05-22,0
LEAD00088,Referral,Brand Awareness,2025-10-12,0
LEAD00089,Organic Search,Retention Drive,2025-10-07,0
LEAD00090,Event,Brand Awareness,2026-02-08,0
LEAD00091,Event,Product Launch,2025-05-22,0
LEAD00092,LinkedIn,Retention Drive,2026-02-26,1
LEAD00093,Organic Search,Product Launch,2025-06-26,0
LEAD00094,LinkedIn,Brand Awareness,2026-01-03,1
LEAD00095,LinkedIn,Brand Awareness,2026-03-04,0
LEAD00096,Event,Product Launch,2025-05-13,0
LEAD00097,Cold Outreach,Competitor Conquest,2025-09-03,0
LEAD00098,LinkedIn,Product Launch,2025-07-06,0
LEAD00099,Event,Q1 Spring Push,2025-09-17,0
LEAD00100,Paid Search,Retention Drive,2025-12-23,0
LEAD00101,Referral,Competitor Conquest,2025-11-10,0
LEAD00102,Cold Outreach,Product Launch,2025-11-24,0
LEAD00103,LinkedIn,Q1 Spring Push,2025-04-17,0
LEAD00104,Organic Search,Q1 Spring Push,2025-12-16,0
LEAD00105,Referral,Brand Awareness,2025-07-11,0
LEAD00106,Event,Product Launch,2025-08-29,0
LEAD00107,Referral,Competitor Conquest,2025-10-28,0
LEAD00108,Referral,Q1 Spring Push,2025-10-15,1
LEAD00109,Referral,Competitor Conquest,2025-03-29,0
LEAD00110,Event,Q1 Spring Push,2026-01-21,0
LEAD00111,Cold Outreach,Brand Awareness,2025-08-02,0
LEAD00112,Cold Outreach,Brand Awareness,2025-09-21,0
LEAD00113,Organic Search,Brand Awareness,2025-04-10,0
LEAD00114,Referral,Product Launch,2025-04-01,0
LEAD00115,Paid Search,Retention Drive,2025-09-20,0
LEAD00116,Paid Search,Brand Awareness,2025-06-04,0
LEAD00117,Organic Search,Q1 Spring Push,2026-03-05,1
LEAD00118,Event,Q1 Spring Push,2025-03-26,0
LEAD00119,Paid Search,Brand Awareness,2025-11-03,0
LEAD00120,Organic Search,Retention Drive,2026-01-23,0
LEAD00121,Event,Product Launch,2025-05-09,1
LEAD00122,Cold Outreach,Q1 Spring Push,2026-01-26,0
LEAD00123,Paid Search,Competitor Conquest,2025-04-09,0
LEAD00124,Cold Outreach,Retention Drive,2025-12-07,0
LEAD00125,Cold Outreach,Product Launch,2025-11-02,0
LEAD00126,Cold Outreach,Q1 Spring Push,2025-04-18,0
LEAD00127,LinkedIn,Competitor Conquest,2025-03-22,0
LEAD00128,LinkedIn,Brand Awareness,2025-12-19,0
LEAD00129,LinkedIn,Q1 Spring Push,2025-08-28,0
LEAD00130,Organic Search,Brand Awareness,2025-10-27,0
LEAD00131,Organic Search,Competitor Conquest,2025-11-29,1
LEAD00132,Paid Search,Competitor Conquest,2026-01-15,0
LEAD00133,Referral,Product Launch,2025-05-01,1
LEAD00134,Referral,Brand Awareness,2026-01-18,0
LEAD00135,Organic Search,Retention Drive,2025-11-03,1
LEAD00136,Organic Search,Competitor Conquest,2025-12-25,0
LEAD00137,Organic Search,Q1 Spring Push,2025-04-05,0
LEAD00138,Paid Search,Brand Awareness,2025-08-23,0
LEAD00139,Event,Competitor Conquest,2025-07-10,0
LEAD00140,Cold Outreach,Q1 Spring Push,2025-06-08,0
LEAD00141,Referral,Competitor Conquest,2026-01-08,0
LEAD00142,LinkedIn,Brand Awareness,2025-03-27,0
LEAD00143,Organic Search,Q1 Spring Push,2025-09-05,0
LEAD00144,LinkedIn,Q1 Spring Push,2025-07-19,0
LEAD00145,LinkedIn,Product Launch,2025-12-11,0
LEAD00146,Referral,Product Launch,2025-10-09,0
LEAD00147,Organic Search,Brand Awareness,2025-07-05,0
LEAD00148,Cold Outreach,Competitor Conquest,2025-12-04,1
LEAD00149,Paid Search,Q1 Spring Push,2025-05-12,1
LEAD00150,Referral,Q1 Spring Push,2025-06-08,0
LEAD00151,Referral,Retention Drive,2025-07-24,0
LEAD00152,Organic Search,Q1 Spring Push,2025-09-19,0
LEAD00153,Cold Outreach,Q1 Spring Push,2025-08-16,1
LEAD00154,Cold Outreach,Retention Drive,2025-07-20,1
LEAD00155,Event,Product Launch,2025-05-19,0
LEAD00156,Organic Search,Q1 Spring Push,2025-12-29,0
LEAD00157,Organic Search,Competitor Conquest,2025-04-29,0
LEAD00158,Cold Outreach,Product Launch,2026-03-04,1
LEAD00159,Organic Search,Brand Awareness,2026-01-21,1
