opportunity_id,account_id,stage,pipeline_value,close_date,created_date,win_flag
OPP00001,ACC0176,Closed Lost,35356,2025-09-25,2025-08-19,0.0
OPP00002,ACC0064,Discovery,41105,2026-02-15,2026-01-13,
OPP00003,ACC0058,Closed Won,72932,2026-03-06,2025-12-11,1.0
OPP00004,ACC0110,Proposal,20699,2025-07-19,2025-05-18,
OPP00005,ACC0196,Negotiation,64789,2025-12-01,2025-09-06,
OPP00006,ACC0045,Discovery,47155,2026-01-28,2025-10-26,
OPP00007,ACC0121,Discovery,24241,2025-05-26,2025-05-03,
OPP00008,ACC0117,Discovery,94494,2025-10-01,2025-09-13,
OPP00009,ACC0151,Discovery,7724,2026-04-15,2026-01-04,
OPP00010,ACC0069,Discovery,23300,2026-01-07,2025-10-31,
OPP00011,ACC0146,Prospecting,97903,2025-12-22,2025-11-29,
OPP00012,ACC0070,Discovery,86024,2025-11-24,2025-09-15,
OPP00013,ACC0065,Proposal,31645,2025-08-20,2025-05-29,
OPP00014,ACC0151,Discovery,201790,2026-02-21,2026-01-27,
OPP00015,ACC0167,Negotiation,70561,2026-05-21,2026-01-30,
OPP00016,ACC0126,Discovery,50044,2025-08-16,2025-06-28,
OPP00017,ACC0042,Demo,18151,2026-03-09,2025-12-25,
OPP00018,ACC0117,Negotiation,94516,2025-10-30,2025-08-25,
OPP00019,ACC0133,Demo,34366,2026-02-18,2025-12-26,
OPP00020,ACC0053,Closed Won,74393,2025-11-09,2025-08-08,1.0
OPP00021,ACC0162,Discovery,35539,2025-12-19,2025-09-26,
OPP00022,ACC0142,Discovery,12787,2025-07-29,2025-04-04,
OPP00023,ACC0031,Discovery,61606,2025-08-10,2025-07-16,
OPP00024,ACC0181,Discovery,83995,2025-07-13,2025-03-15,
OPP00025,ACC0154,Closed Won,40706,2025-11-29,2025-09-23,1.0
OPP00026,ACC0107,Closed Won,72424,2025-09-11,2025-05-25,1.0
OPP00027,ACC0077,Proposal,67066,2025-12-11,2025-08-19,
OPP00028,ACC0138,Closed Lost,35714,2025-07-12,2025-04-15,0.0
OPP00029,ACC0083,Demo,64814,2025-08-04,2025-06-07,
OPP00030,ACC0106,Discovery,11903,2026-02-16,2025-11-05,
OPP00031,ACC0099,Closed Won,161699,2026-03-13,2026-01-18,1.0
OPP00032,ACC0152,Proposal,10131,2025-04-15,2025-03-13,
OPP00033,ACC0117,Closed Won,30552,2025-09-19,2025-08-24,1.0
OPP00034,ACC0102,Discovery,15429,2026-05-19,2026-02-02,
OPP00035,ACC0184,Closed Won,28539,2025-04-07,2025-03-14,1.0
OPP00036,ACC0026,Prospecting,66060,2025-08-27,2025-06-05,
OPP00037,ACC0008,Closed Won,28209,2025-07-04,2025-03-22,1.0
OPP00038,ACC0038,Closed Won,23072,2026-03-13,2026-01-17,1.0
OPP00039,ACC0045,Demo,49232,2025-12-27,2025-10-07,
OPP00040,ACC0150,Closed Won,45090,2026-04-02,2025-12-31,1.0
OPP00041,ACC0003,Proposal,23077,2026-01-10,2025-11-28,
OPP00042,ACC0089,Negotiation,15665,2025-08-05,2025-06-16,
OPP00043,ACC0078,Negotiation,31618,2025-06-06,2025-04-15,
OPP00044,ACC0092,Closed Won,15175,2026-01-02,2025-10-31,1.0
OPP00045,ACC0145,Closed Lost,48987,2025-06-11,2025-04-21,0.0
OPP00046,ACC0091,Closed Won,59370,2026-04-16,2026-01-15,1.0
OPP00047,ACC0197,Discovery,8953,2026-01-23,2025-10-20,
OPP00048,ACC0113,Prospecting,43569,2026-03-05,2025-12-01,
OPP00049,ACC0052,Demo,24176,2026-04-21,2026-01-23,
OPP00050,ACC0070,Proposal,144246,2026-03-28,2025-12-04,
OPP00051,ACC0030,Closed Lost,4149,2026-01-02,2025-11-17,0.0
OPP00052,ACC0004,Discovery,15062,2025-07-08,2025-06-15,
OPP00053,ACC0068,Discovery,17702,2025-12-18,2025-09-27,
OPP00054,ACC0157,Closed Won,120853,2025-06-17,2025-04-16,1.0
OPP00055,ACC0036,Prospecting,22953,2026-01-23,2025-10-19,
OPP00056,ACC0138,Demo,35911,2026-02-04,2026-01-17,
OPP00057,ACC0139,Proposal,90303,2026-02-03,2025-12-02,
OPP00058,ACC0026,Closed Won,16150,2025-10-07,2025-07-10,1.0
OPP00059,ACC0061,Demo,26391,2025-09-04,2025-06-04,
OPP00060,ACC0166,Closed Lost,5698,2025-09-03,2025-08-08,0.0
OPP00061,ACC0117,Demo,22360,2025-08-31,2025-08-10,
OPP00062,ACC0033,Discovery,14394,2026-04-02,2025-12-25,
OPP00063,ACC0056,Prospecting,57468,2025-06-05,2025-04-26,
OPP00064,ACC0071,Closed Won,96810,2025-12-08,2025-10-13,1.0
OPP00065,ACC0007,Proposal,57543,2025-12-27,2025-11-27,
OPP00066,ACC0005,Demo,95110,2025-12-19,2025-12-04,
OPP00067,ACC0191,Prospecting,73130,2025-12-29,2025-11-12,
OPP00068,ACC0116,Demo,22789,2026-03-23,2026-01-08,
OPP00069,ACC0118,Closed Lost,104032,2025-07-09,2025-05-28,0.0
OPP00070,ACC0176,Prospecting,34606,2025-04-03,2025-03-17,
OPP00071,ACC0083,Closed Won,16833,2026-03-02,2025-12-16,1.0
OPP00072,ACC0141,Prospecting,15654,2025-05-06,2025-04-04,
OPP00073,ACC0155,Closed Lost,39213,2025-10-28,2025-08-27,0.0
OPP00074,ACC0197,Closed Won,7843,2025-07-30,2025-07-04,1.0
OPP00075,ACC0106,Closed Won,15404,2025-08-17,2025-05-03,1.0
OPP00076,ACC0110,Proposal,31971,2025-12-17,2025-08-20,
OPP00077,ACC0022,Demo,34931,2025-12-10,2025-09-02,
OPP00078,ACC0143,Prospecting,207130,2026-03-03,2025-12-24,
OPP00079,ACC0106,Closed Lost,46936,2026-04-09,2026-01-10,0.0
OPP00080,ACC0014,Closed Lost,10335,2025-11-19,2025-08-12,0.0
OPP00081,ACC0040,Demo,12035,2025-12-14,2025-09-15,
OPP00082,ACC0030,Closed Won,22843,2025-07-20,2025-06-08,1.0
OPP00083,ACC0197,Discovery,29097,2025-12-16,2025-09-20,
OPP00084,ACC0169,Negotiation,44318,2025-06-28,2025-03-28,
OPP00085,ACC0087,Discovery,54316,2025-10-13,2025-09-26,
OPP00086,ACC0018,Discovery,8700,2025-08-28,2025-08-14,
OPP00087,ACC0088,Negotiation,18511,2026-03-17,2025-11-29,
OPP00088,ACC0040,Demo,112648,2026-01-21,2025-11-21,
OPP00089,ACC0170,Negotiation,50413,2026-03-11,2025-11-21,
OPP00090,ACC0132,Negotiation,31253,2025-09-21,2025-07-07,
OPP00091,ACC0125,Demo,14397,2026-02-09,2025-12-13,
OPP00092,ACC0031,Demo,60489,2025-08-23,2025-05-16,
OPP00093,ACC0181,Closed Won,17710,2026-04-24,2026-02-06,1.0
OPP00094,ACC0102,Proposal,51902,2026-01-01,2025-10-15,
OPP00095,ACC0182,Prospecting,46338,2026-03-29,2026-01-19,
OPP00096,ACC0093,Demo,30442,2025-05-25,2025-03-19,
OPP00097,ACC0135,Closed Won,15416,2026-03-05,2025-12-26,1.0
OPP00098,ACC0200,Closed Won,56015,2026-03-05,2025-12-31,1.0
OPP00099,ACC0199,Proposal,12321,2025-12-08,2025-11-15,
OPP00100,ACC0051,Closed Won,23765,2025-10-12,2025-08-15,1.0
OPP00101,ACC0198,Discovery,53351,2026-02-12,2025-11-13,
OPP00102,ACC0175,Proposal,44712,2025-06-10,2025-03-25,
OPP00103,ACC0161,Negotiation,127884,2025-07-31,2025-04-26,
OPP00104,ACC0071,Demo,32347,2025-10-04,2025-09-01,
OPP00105,ACC0010,Demo,12262,2025-05-04,2025-04-13,
OPP00106,ACC0130,Closed Won,128869,2026-03-13,2026-01-11,1.0
OPP00107,ACC0155,Proposal,40993,2025-10-09,2025-07-28,
OPP00108,ACC0183,Discovery,83642,2025-08-28,2025-06-11,
OPP00109,ACC0073,Negotiation,46024,2026-03-16,2025-12-28,
OPP00110,ACC0162,Closed Won,47056,2025-09-30,2025-07-26,1.0
OPP00111,ACC0169,Prospecting,12428,2025-05-10,2025-03-15,
OPP00112,ACC0090,Demo,41451,2025-05-10,2025-04-07,
OPP00113,ACC0022,Negotiation,25181,2025-12-10,2025-09-04,
OPP00114,ACC0190,Demo,142202,2025-11-28,2025-09-04,
OPP00115,ACC0093,Negotiation,30800,2025-06-10,2025-05-16,
OPP00116,ACC0050,Closed Lost,14345,2025-10-11,2025-09-04,0.0
OPP00117,ACC0130,Discovery,9675,2025-11-17,2025-10-17,
OPP00118,ACC0197,Closed Won,40445,2025-09-06,2025-05-09,1.0
OPP00119,ACC0178,Proposal,20348,2025-04-29,2025-03-30,
OPP00120,ACC0094,Closed Lost,49883,2025-07-22,2025-03-27,0.0
OPP00121,ACC0060,Negotiation,180261,2025-12-20,2025-10-11,
OPP00122,ACC0050,Demo,80635,2025-06-25,2025-05-12,
OPP00123,ACC0073,Closed Lost,124874,2025-11-13,2025-08-05,0.0
OPP00124,ACC0065,Proposal,58681,2025-10-15,2025-07-29,
OPP00125,ACC0032,Proposal,66127,2026-04-20,2026-01-14,
OPP00126,ACC0057,Closed Won,15362,2025-10-11,2025-09-17,1.0
OPP00127,ACC0096,Closed Lost,29926,2025-08-21,2025-06-24,0.0
OPP00128,ACC0026,Closed Lost,30435,2025-12-14,2025-10-12,0.0
OPP00129,ACC0121,Closed Won,18080,2025-05-09,2025-03-14,1.0
OPP00130,ACC0021,Closed Won,33829,2026-03-21,2025-11-30,1.0
OPP00131,ACC0199,Discovery,47056,2026-03-18,2026-01-31,
OPP00132,ACC0160,Demo,12459,2025-10-29,2025-09-15,
OPP00133,ACC0005,Discovery,144183,2025-07-12,2025-06-20,
OPP00134,ACC0001,Proposal,55448,2025-06-10,2025-03-23,
OPP00135,ACC0022,Discovery,25818,2025-05-30,2025-04-01,
OPP00136,ACC0130,Prospecting,39050,2025-07-16,2025-05-17,
OPP00137,ACC0096,Demo,32451,2025-05-18,2025-05-02,
OPP00138,ACC0188,Prospecting,66460,2026-01-20,2025-10-03,
OPP00139,ACC0012,Closed Won,58899,2025-04-21,2025-03-25,1.0
OPP00140,ACC0176,Demo,115313,2025-11-04,2025-08-13,
OPP00141,ACC0184,Proposal,21938,2025-09-28,2025-06-17,
OPP00142,ACC0140,Demo,252962,2025-07-08,2025-06-20,
OPP00143,ACC0200,Prospecting,48166,2025-07-28,2025-06-12,
OPP00144,ACC0103,Demo,16067,2026-04-23,2026-01-16,
OPP00145,ACC0095,Demo,8993,2025-08-31,2025-06-29,
OPP00146,ACC0155,Closed Won,50938,2025-07-07,2025-05-20,1.0
OPP00147,ACC0076,Demo,16131,2026-01-31,2025-11-09,
OPP00148,ACC0090,Negotiation,26190,2025-11-16,2025-09-06,
OPP00149,ACC0112,Closed Won,157425,2025-07-15,2025-06-26,1.0
OPP00150,ACC0192,Closed Lost,48845,2025-12-26,2025-09-22,0.0
OPP00151,ACC0009,Discovery,71332,2025-12-07,2025-11-20,
OPP00152,ACC0146,Discovery,49629,2025-12-29,2025-12-07,
OPP00153,ACC0114,Discovery,32557,2026-04-25,2026-01-24,
OPP00154,ACC0072,Discovery,27824,2026-03-29,2026-01-01,
OPP00155,ACC0144,Prospecting,14862,2025-11-02,2025-10-05,
OPP00156,ACC0157,Closed Won,51872,2026-01-27,2025-12-11,1.0
OPP00157,ACC0019,Closed Lost,35819,2025-12-27,2025-09-16,0.0
OPP00158,ACC0175,Closed Won,33437,2025-07-29,2025-06-23,1.0
OPP00159,ACC0077,Demo,9856,2025-12-07,2025-08-30,
OPP00160,ACC0093,Closed Won,50651,2026-03-06,2025-11-21,1.0
OPP00161,ACC0127,Discovery,22549,2025-07-06,2025-05-25,
OPP00162,ACC0142,Proposal,14526,2026-03-28,2026-01-27,
OPP00163,ACC0184,Closed Won,13491,2026-03-07,2025-12-05,1.0
OPP00164,ACC0033,Demo,27109,2025-08-29,2025-06-09,
OPP00165,ACC0033,Prospecting,32953,2025-12-05,2025-08-31,
OPP00166,ACC0129,Proposal,55379,2025-08-06,2025-05-03,
OPP00167,ACC0083,Discovery,20536,2026-05-12,2026-01-12,
OPP00168,ACC0021,Closed Lost,37655,2025-12-14,2025-10-17,0.0
OPP00169,ACC0078,Negotiation,39331,2025-11-12,2025-10-04,
OPP00170,ACC0149,Prospecting,58339,2025-06-22,2025-04-01,
OPP00171,ACC0145,Negotiation,78187,2025-12-28,2025-11-23,
OPP00172,ACC0054,Closed Won,60224,2026-05-18,2026-01-19,1.0
OPP00173,ACC0078,Negotiation,43247,2025-06-29,2025-04-23,
OPP00174,ACC0019,Closed Won,52123,2025-07-22,2025-06-07,1.0
OPP00175,ACC0156,Demo,35343,2026-02-13,2026-01-10,
OPP00176,ACC0195,Closed Won,25516,2026-01-21,2025-11-28,1.0
OPP00177,ACC0069,Proposal,22804,2025-10-22,2025-08-04,
OPP00178,ACC0041,Discovery,85728,2025-08-08,2025-06-24,
OPP00179,ACC0132,Closed Won,21887,2025-11-21,2025-08-26,1.0
OPP00180,ACC0101,Closed Won,36172,2025-08-31,2025-06-15,1.0
OPP00181,ACC0013,Closed Lost,19848,2025-08-07,2025-05-27,0.0
OPP00182,ACC0074,Proposal,152793,2025-12-04,2025-09-18,
OPP00183,ACC0187,Closed Won,16212,2025-05-26,2025-05-11,1.0
OPP00184,ACC0074,Demo,41485,2025-11-25,2025-08-06,
OPP00185,ACC0160,Proposal,60102,2026-03-07,2026-01-03,
OPP00186,ACC0087,Discovery,15017,2025-05-02,2025-04-03,
OPP00187,ACC0129,Closed Won,15656,2025-06-29,2025-04-30,1.0
OPP00188,ACC0133,Prospecting,161999,2026-02-08,2026-01-20,
OPP00189,ACC0157,Negotiation,37484,2025-07-24,2025-06-21,
