account_id,product_name,active_users,usage_events,last_active_date
ACC0001,Core Platform,80,27933,2026-01-29
ACC0002,API Access,290,23972,2026-01-31
ACC0002,Enterprise Suite,142,44614,2026-02-14
ACC0003,Enterprise Suite,92,24272,2026-02-04
ACC0003,Compliance Module,285,31713,2026-02-23
ACC0004,Compliance Module,204,48230,2026-03-03
ACC0004,API Access,438,43216,2026-03-04
ACC0004,Enterprise Suite,383,15068,2026-02-11
ACC0005,Analytics Add-on,110,33324,2026-02-14
ACC0005,Core Platform,403,22189,2026-01-19
ACC0006,Core Platform,200,41682,2026-03-11
ACC0006,Analytics Add-on,412,5979,2026-01-18
ACC0007,Compliance Module,223,5786,2026-03-07
ACC0008,API Access,41,39923,2026-03-09
ACC0009,Enterprise Suite,365,39165,2026-03-08
ACC0009,API Access,485,11496,2026-01-30
ACC0010,Core Platform,104,43059,2026-01-11
ACC0011,API Access,18,39299,2026-02-07
ACC0011,Analytics Add-on,265,45783,2026-02-25
ACC0012,Core Platform,123,42937,2026-03-11
ACC0012,API Access,500,10328,2026-03-06
ACC0013,Enterprise Suite,203,26581,2026-02-02
ACC0013,API Access,103,33940,2026-03-11
ACC0013,Compliance Module,378,46122,2026-03-07
ACC0014,Compliance Module,425,36652,2026-01-12
ACC0014,API Access,299,22822,2026-02-17
ACC0014,Enterprise Suite,494,18131,2026-02-25
ACC0015,Analytics Add-on,477,26483,2026-02-03
ACC0015,Enterprise Suite,3,17121,2026-02-28
ACC0016,Core Platform,287,4753,2026-02-07
ACC0017,Core Platform,412,33648,2026-02-23
ACC0018,Compliance Module,227,24722,2026-02-03
ACC0018,API Access,248,15953,2026-01-22
ACC0018,Enterprise Suite,174,30081,2026-01-27
ACC0019,Compliance Module,442,1802,2026-02-09
ACC0020,Core Platform,196,41537,2026-01-20
ACC0021,Analytics Add-on,490,23150,2026-02-06
ACC0021,API Access,275,647,2026-01-26
ACC0021,Compliance Module,427,17268,2026-02-24
ACC0022,Enterprise Suite,345,49082,2026-01-18
ACC0023,Compliance Module,477,11707,2026-02-09
ACC0024,Analytics Add-on,458,37608,2026-02-22
ACC0025,Analytics Add-on,256,48317,2026-02-27
ACC0026,Analytics Add-on,447,17403,2026-02-26
ACC0027,Analytics Add-on,429,40550,2026-02-17
ACC0028,Core Platform,62,5153,2026-01-27
ACC0029,Enterprise Suite,491,2779,2026-01-16
ACC0029,Core Platform,247,24336,2026-01-31
ACC0029,API Access,162,32276,2026-01-13
ACC0030,Compliance Module,94,33507,2026-02-22
ACC0030,API Access,204,14565,2026-01-22
ACC0030,Analytics Add-on,296,8414,2026-03-08
ACC0031,Enterprise Suite,245,35449,2026-03-09
ACC0032,Enterprise Suite,441,44989,2026-01-21
ACC0033,Core Platform,358,33971,2026-02-10
ACC0034,Core Platform,7,44188,2026-02-26
ACC0035,Core Platform,167,23707,2026-01-31
ACC0036,Analytics Add-on,138,30900,2026-01-31
ACC0036,API Access,176,23991,2026-02-28
ACC0036,Core Platform,256,27793,2026-02-26
ACC0037,API Access,187,26263,2026-02-22
ACC0038,Compliance Module,68,37751,2026-01-27
ACC0039,Core Platform,370,17701,2026-01-19
ACC0040,Enterprise Suite,439,24971,2026-02-27
ACC0041,Analytics Add-on,243,648,2026-02-28
ACC0042,Analytics Add-on,458,41340,2026-02-06
ACC0043,API Access,403,31901,2026-02-20
ACC0044,Compliance Module,25,26119,2026-03-05
ACC0045,Core Platform,417,16675,2026-02-09
ACC0045,Analytics Add-on,430,41288,2026-03-05
ACC0046,API Access,134,23666,2026-02-16
ACC0047,API Access,11,26995,2026-03-04
ACC0047,Compliance Module,180,44547,2026-02-01
ACC0048,Compliance Module,333,42551,2026-02-05
ACC0049,API Access,182,21315,2026-01-27
ACC0050,Enterprise Suite,456,5148,2026-02-15
ACC0051,Enterprise Suite,445,10992,2026-01-30
ACC0051,Analytics Add-on,414,22121,2026-02-13
ACC0052,Compliance Module,435,4685,2026-03-06
ACC0052,Enterprise Suite,83,22529,2026-02-25
ACC0053,API Access,364,17539,2026-02-01
ACC0054,API Access,400,23810,2026-01-23
ACC0054,Enterprise Suite,301,34150,2026-02-11
ACC0055,Analytics Add-on,438,1523,2026-03-03
ACC0056,API Access,108,10948,2026-02-14
ACC0056,Core Platform,53,6272,2026-03-07
ACC0057,Enterprise Suite,395,26028,2026-02-06
ACC0057,Core Platform,392,5465,2026-03-05
ACC0057,Compliance Module,135,40517,2026-03-02
ACC0058,Enterprise Suite,159,15041,2026-02-24
ACC0059,Enterprise Suite,68,34530,2026-01-17
ACC0059,Analytics Add-on,88,1882,2026-03-09
ACC0060,API Access,240,35437,2026-01-11
ACC0060,Enterprise Suite,140,35959,2026-02-11
ACC0061,Compliance Module,91,38730,2026-02-01
ACC0062,Compliance Module,223,34315,2026-01-30
ACC0063,API Access,247,35377,2026-02-25
ACC0063,Compliance Module,413,5879,2026-02-11
ACC0064,Enterprise Suite,134,10215,2026-02-20
ACC0065,Compliance Module,418,49705,2026-01-16
ACC0066,API Access,241,35078,2026-03-11
ACC0067,Enterprise Suite,154,608,2026-01-21
ACC0067,Compliance Module,221,19206,2026-02-01
ACC0068,Core Platform,281,24497,2026-02-27
ACC0069,Compliance Module,224,25880,2026-02-24
ACC0070,Enterprise Suite,425,24806,2026-02-25
ACC0071,Enterprise Suite,321,15709,2026-02-06
ACC0072,Compliance Module,146,42507,2026-01-23
ACC0072,API Access,273,17627,2026-02-13
ACC0073,Core Platform,94,8963,2026-02-21
