account_id,contract_value,renewal_date,expansion_flag
ACC0001,22522,2027-03-04,0
ACC0002,11705,2027-06-04,0
ACC0003,46540,2027-04-11,1
ACC0004,11992,2026-07-12,0
ACC0005,12143,2026-08-20,0
ACC0006,38003,2026-08-19,1
ACC0007,16317,2027-05-17,0
ACC0008,11903,2027-01-29,0
ACC0009,25980,2027-04-17,0
ACC0010,9872,2026-11-19,0
ACC0011,13574,2027-01-05,0
ACC0012,35601,2027-02-15,1
ACC0013,28315,2026-12-21,0
ACC0014,48936,2026-09-03,1
ACC0015,23490,2027-01-31,0
ACC0016,7567,2027-06-15,0
ACC0017,16650,2027-06-14,0
ACC0018,69204,2027-04-30,1
ACC0019,15322,2027-02-06,0
ACC0020,23848,2027-01-18,0
ACC0021,11699,2027-04-22,0
ACC0022,27839,2026-06-19,0
ACC0023,140007,2026-09-02,1
ACC0024,36997,2026-11-26,1
ACC0025,35499,2027-05-04,1
ACC0026,28397,2027-04-26,0
ACC0027,30056,2027-06-16,0
ACC0028,11669,2026-11-06,0
ACC0029,12221,2026-07-11,0
ACC0030,38527,2026-07-17,1
ACC0031,8063,2027-03-12,0
ACC0032,9765,2027-03-28,0
ACC0033,26848,2027-02-06,1
ACC0034,10451,2027-03-07,0
ACC0035,14536,2026-11-19,0
ACC0036,49867,2026-06-14,1
ACC0037,29665,2027-04-20,0
ACC0038,9421,2026-11-04,0
ACC0039,22993,2027-01-01,0
ACC0040,13409,2026-07-22,0
ACC0041,43272,2026-10-29,1
ACC0042,20004,2026-08-07,0
ACC0043,8909,2026-12-09,0
ACC0044,17537,2026-10-19,0
ACC0045,15913,2026-12-25,0
ACC0046,18428,2027-02-24,0
ACC0047,16817,2027-02-08,0
ACC0048,44573,2026-10-29,0
ACC0049,11081,2026-06-11,0
ACC0050,11627,2026-11-12,0
ACC0051,32482,2026-07-15,1
ACC0052,11499,2027-02-21,0
ACC0053,11083,2026-07-19,0
ACC0054,25212,2026-07-16,0
ACC0055,27979,2026-11-15,0
ACC0056,11420,2026-07-31,0
ACC0057,29255,2026-09-14,1
ACC0058,18254,2026-07-08,0
ACC0059,33654,2026-10-17,1
ACC0060,19630,2027-03-06,0
ACC0061,16177,2026-07-08,0
ACC0062,7465,2027-03-06,0
ACC0063,29625,2027-05-17,0
ACC0064,33128,2027-03-07,0
ACC0065,11206,2026-07-19,0
ACC0066,12401,2027-06-18,0
ACC0067,16792,2026-11-04,0
ACC0068,17163,2026-12-30,0
ACC0069,61653,2026-11-15,1
ACC0070,36483,2026-06-24,0
ACC0071,40600,2026-07-16,1
ACC0072,10309,2027-03-26,0
ACC0073,22255,2027-01-28,1
ACC0074,30777,2026-11-29,1
ACC0075,14546,2026-07-22,0
ACC0076,33109,2027-03-27,0
ACC0077,11697,2026-10-02,0
ACC0078,49607,2026-08-23,1
ACC0079,43993,2027-03-16,1
ACC0080,25204,2026-07-21,0
ACC0081,46033,2026-06-06,0
ACC0082,11627,2027-06-06,0
ACC0083,11846,2026-08-23,0
ACC0084,23621,2027-05-13,0
ACC0085,20067,2026-12-23,0
ACC0086,111676,2027-02-20,1
ACC0087,19202,2027-03-20,0
ACC0088,12561,2026-09-02,0
ACC0089,19260,2026-09-27,0
ACC0090,77215,2026-09-14,1
ACC0091,21359,2026-12-13,0
ACC0092,57162,2027-02-23,1
ACC0093,23861,2026-08-06,0
ACC0094,24989,2027-03-27,0
ACC0095,27501,2027-03-21,0
ACC0096,19770,2026-10-03,0
ACC0097,13695,2026-07-31,0
ACC0098,15772,2026-10-06,0
ACC0099,25411,2027-02-07,0
ACC0100,29482,2026-07-26,1
ACC0101,17429,2026-09-03,0
ACC0102,12370,2027-05-17,0
ACC0103,44998,2026-08-31,1
ACC0104,26247,2027-03-22,0
ACC0105,48803,2027-05-07,1
ACC0106,45398,2027-05-28,1
ACC0107,22473,2026-10-03,1
ACC0108,20657,2027-06-07,0
ACC0109,61251,2026-12-17,1
ACC0110,130827,2026-09-17,1
ACC0111,12855,2026-07-25,0
ACC0112,16295,2027-04-27,0
ACC0113,50246,2026-07-24,1
ACC0114,30027,2026-06-05,0
